time,localTime,batteryPercent,charging,connected,bytesSent,bytesReceived,runningProc,memUsageMB,hungriestProc,hungryProcMem
1699860136,09:22 AM,89,No,Yes,1347217,3537179,90,6102.48,svchost.exe,1161.29
1699860196,09:23 AM,89,No,Yes,1832546,6028885,92,6865.28,svchost.exe,1148.9
1699860257,09:24 AM,88,No,Yes,2011763,6403247,90,6549.08,svchost.exe,1132.99
1699860318,09:25 AM,88,No,Yes,2017045,6438487,89,6287.86,svchost.exe,1110.3
1699860378,09:26 AM,87,No,Yes,2106884,7042186,92,6438.04,svchost.exe,1085.04
1699860438,09:27 AM,87,No,Yes,2178351,7202858,97,6575.12,svchost.exe,1139.24
1699860499,09:28 AM,86,No,Yes,2187559,7267936,94,6481.05,svchost.exe,1132.01
1699860559,09:29 AM,86,No,Yes,2334029,8643597,94,6403.14,svchost.exe,1173.84
1699860620,09:30 AM,85,No,Yes,2358976,9182100,92,6266.56,svchost.exe,1147.68
1699860681,09:31 AM,85,No,Yes,2374852,9225194,91,6245.98,svchost.exe,1154.82
1699860741,09:32 AM,84,No,Yes,2633855,14145907,91,6502.39,svchost.exe,1125.04
1699860801,09:33 AM,84,No,Yes,4267983,22775989,91,6850.24,chrome.exe,1218.45
1699860862,09:34 AM,83,No,Yes,4912132,26164461,91,6726.2,chrome.exe,1192.39
1699860923,09:35 AM,82,No,Yes,4988806,26374359,91,6640.49,chrome.exe,1136.66
1699860983,09:36 AM,82,No,Yes,6380432,33535546,90,6919.2,chrome.exe,1449.06
1699861044,09:37 AM,81,No,Yes,6691307,33731494,90,6879.54,chrome.exe,1381.58
1699861104,09:38 AM,81,No,Yes,6775711,33828665,91,6804.2,chrome.exe,1283.54
1699861165,09:39 AM,80,No,Yes,7598347,44678456,90,7546.96,chrome.exe,2101.28
1699861225,09:40 AM,80,No,Yes,7933768,44844796,90,7284.17,chrome.exe,1899.56
1699861286,09:41 AM,79,No,Yes,8141064,45255682,91,7463.57,chrome.exe,1878.58
1699861346,09:42 AM,79,No,Yes,8226039,45322455,90,7125.82,chrome.exe,1745.43
1699861407,09:43 AM,78,No,Yes,8643980,47613017,93,7485.63,chrome.exe,1618.96
1699861467,09:44 AM,77,No,Yes,8916884,49783305,92,7742.2,chrome.exe,1900.03
1699861528,09:45 AM,75,No,Yes,10115211,53094367,91,7894.22,chrome.exe,2031.72
1699861589,09:46 AM,75,No,Yes,10669725,53729970,93,7883.69,chrome.exe,1896.68
1699861649,09:47 AM,73,No,Yes,10922824,53831593,94,7824.17,chrome.exe,1833.18
1699861710,09:48 AM,72,No,Yes,10996595,53890846,92,7726.66,chrome.exe,1818.5
1699861770,09:49 AM,71,No,Yes,11058071,54026290,91,7628.53,chrome.exe,1741.48
1699861831,09:50 AM,70,No,Yes,11133333,54111074,91,7573.86,chrome.exe,1631.14
1699861891,09:51 AM,69,No,Yes,12194704,58849336,93,8120.95,chrome.exe,2153.86
1699861952,09:52 AM,69,No,Yes,13812956,65901114,92,7878.11,chrome.exe,1930.3
1699862013,09:53 AM,68,No,Yes,14051647,66078192,91,7900.8,chrome.exe,1961.84
1699862073,09:54 AM,67,No,Yes,14682468,68455261,91,7843.99,chrome.exe,1912.83
1699862134,09:55 AM,67,No,Yes,14913030,68582336,91,7848.18,chrome.exe,1924.72
1699862194,09:56 AM,66,No,Yes,15019418,68720093,92,7875.57,chrome.exe,1853.79
1699862255,09:57 AM,66,No,Yes,15072138,68750014,91,7746.5,chrome.exe,1793.5
1699862315,09:58 AM,65,No,Yes,15146390,68802379,91,7813.78,chrome.exe,1810.56
1699862376,09:59 AM,65,No,Yes,15190767,68832058,91,7745.27,chrome.exe,1790.29
1699862436,10:00 AM,64,No,Yes,15262589,69081971,91,8039.16,chrome.exe,1788.15
1699862497,10:01 AM,64,No,Yes,15324656,69137148,91,7753.93,chrome.exe,1787.81
1699862558,10:02 AM,63,No,Yes,15403680,69254558,92,7809.8,chrome.exe,1786.03
1699862619,10:03 AM,62,No,Yes,15749755,69296420,91,7736.13,chrome.exe,1780.1
1699862679,10:04 AM,62,No,Yes,15931458,72756533,91,7753.49,chrome.exe,1786.12
1699862740,10:05 AM,61,No,Yes,16088590,72897698,91,8137.66,chrome.exe,2159.56
1699862800,10:06 AM,60,No,Yes,18795053,91084102,91,9749.64,chrome.exe,3543.44
1699862861,10:07 AM,60,No,Yes,20443018,101382801,91,9740.99,chrome.exe,3552.74
1699862921,10:08 AM,59,No,Yes,21929209,118582074,91,9701.98,chrome.exe,3517.76
1699862982,10:09 AM,58,No,Yes,22909553,124384398,91,9653.4,chrome.exe,3468.14
1699863043,10:10 AM,57,No,Yes,23745671,125013819,91,9781.0,chrome.exe,3461.21
1699863103,10:11 AM,56,No,Yes,24644219,134321246,93,10175.7,chrome.exe,3643.37
1699863164,10:12 AM,56,No,Yes,25705329,139739735,93,9987.92,chrome.exe,3534.78
1699863225,10:13 AM,55,No,Yes,26594158,148403500,93,9981.78,chrome.exe,3553.63
1699863285,10:14 AM,54,No,Yes,27353359,149953142,91,10096.83,chrome.exe,3684.21
1699863346,10:15 AM,54,No,Yes,28411374,156101648,91,10112.57,chrome.exe,3722.56
1699863407,10:16 AM,53,No,Yes,29055818,158331826,91,9947.44,chrome.exe,3561.89
1699863467,10:17 AM,52,No,Yes,29917307,159938327,91,9842.99,chrome.exe,3472.45
1699863528,10:18 AM,52,No,Yes,31153116,176487417,91,10016.35,chrome.exe,3665.89
1699863588,10:19 AM,51,No,Yes,33633845,191700997,91,10317.22,chrome.exe,3957.63
1699863649,10:20 AM,50,No,Yes,34274304,194823948,91,10317.77,chrome.exe,3960.77
1699863710,10:21 AM,49,No,Yes,35425851,202438450,93,10937.35,chrome.exe,4559.82
1699863770,10:22 AM,49,No,Yes,36096008,210037737,93,11302.7,chrome.exe,4905.91
1699863831,10:23 AM,48,No,Yes,36727741,210728771,93,9028.67,chrome.exe,2660.96
1699863891,10:24 AM,48,No,Yes,37444660,216803545,92,9302.55,chrome.exe,2807.12
1699863952,10:25 AM,47,No,Yes,38041917,221858562,92,9370.97,chrome.exe,2958.69
1699864013,10:26 AM,46,No,Yes,38388128,224475584,92,9374.04,chrome.exe,2965.0
1699864073,10:27 AM,46,No,Yes,38634380,225587126,91,9193.67,chrome.exe,2793.47
1699864134,10:28 AM,45,No,Yes,38817497,226337319,91,9358.11,chrome.exe,2892.63
1699864194,10:29 AM,44,No,Yes,40815579,244280103,90,10330.7,chrome.exe,3947.84
1699864255,10:30 AM,43,No,Yes,41907246,251305345,91,10945.83,chrome.exe,4297.66
1699864316,10:31 AM,43,No,Yes,43007587,253348675,92,11076.84,chrome.exe,4258.24
1699864376,10:32 AM,42,No,Yes,43768218,254867013,94,11621.94,chrome.exe,4453.13
1699864437,10:33 AM,41,No,Yes,44982833,258592819,93,11455.09,chrome.exe,4610.79
1699864498,10:34 AM,40,No,Yes,46877489,282274225,91,11782.95,chrome.exe,4956.15
1699864558,10:35 AM,40,No,Yes,48658942,301763407,91,11638.04,chrome.exe,4805.55
1699864620,10:37 AM,39,No,Yes,49913184,310259234,91,11803.94,chrome.exe,5003.9
1699864681,10:38 AM,38,No,Yes,50933298,312825427,91,11809.26,chrome.exe,5271.13
1699864742,10:39 AM,38,No,Yes,52014638,314726157,91,11852.06,chrome.exe,5349.58
1699864802,10:40 AM,37,No,Yes,52340945,319266577,91,11801.67,chrome.exe,5326.86
